"","duration","id","enj_1","enj_2","enj_3","enj_4","enj_5","enj_6","att_3","att_4","att_4_2","att_4_3","att_5","att_6","att_check","gen","age","sugg","choice","choice_str","upgrade_str","upgrade","att_str","attention","participant"
"11",215,"5d4b07135a41240016c37fa3",79.67,63.51,61.56,67.69,51.95,49.44,"",0,0,0,NA,NA,"One was black and white and the other was in colour.",2,37,"Not really sure but I wondered if it was about enjoyment of viewing an image reducing with exposure ",2,"No Upgrade","Upgrade",1,"Low Attention",-1,11
"12",544,"5d226f2afdb9a6001521b55c",78.31,82.68,80.42,82.25,82.82,77.89,"",0,0,0,NA,NA,"Picture 1 was shown in black and white while Picture 2 had a brown, sepia tone. Apart from this the pictures appeared identical. ",1,63,"As Picture 1 was shown more frequently than Picture 2, the study may be trying to determine if this influences the viewer's preference.",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,12
"13",378,"5eb1e5a539aaed334fab6813",46.48,62.39,44.51,58.03,66.06,47.32,"",0,0,0,NA,NA,"Picture 1 was extremely bland and there way too much grey-scale whereas picture 2 was much more appealing and the colours were easy on the eye.",2,18,"The purpose of the study was to see if on a mobile device people paid attention to detail in photos.",1,"Upgrade","Upgrade",1,"Low Attention",-1,13
"14",155,"5ee643557820be06ed08f4b7",50.97,47.42,46.77,46.45,46.45,46.45,"",0,0,0,NA,NA,"One is black and white, the other is greyscale",2,21,"To make judgements on art",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,14
"15",196,"574027971407a30010773dd7",68.06,58.71,62.9,58.06,59.35,57.42,"Boat, lake and church",2,0,1,1,"No","Ones in colour and the other one isn’t ",2,31,"Attention",2,"No Upgrade","Upgrade",1,"High Attention",1,15
"16",437,"5f0879b5fc8e5a083c495393",68.59,66.2,65.21,69.01,65.07,54.08,"A boat, a church, a dock, houses, a mountain, a lake/sea",2,0,1,1,"No","The colour of the pictures",1,18,"To see which of the two filters is more liked by the surveyed individuals",2,"No Upgrade","No Upgrade",-1,"High Attention",1,16
"17",134,"5a9bbda1f6dfdd0001ea9639",49.72,50.28,48.47,50.51,50.85,50.73,"",0,0,0,NA,NA,"different shades ",2,25,"unsure",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,17
"18",579,"5ed006fbcb4c1e0b74eacb42",100,98.87,100,100,100,100,"",0,0,0,NA,NA,"The main difference is that one picture is in a black and white type format which makes it look more romantic and dream like the other picture is in colour format.  I prefer the black and white format.",2,45,"to get an idea of what a consumer would prefer or what type of image would sell a place more for tourist reasons.",2,"No Upgrade","Upgrade",1,"Low Attention",-1,18
"19",281,"5aea8f7b9d82560001bde3c2",87.61,85.49,83.38,84.37,81.27,84.51,"Boat, mountain, houses",3,1,1,1,"No","I noticed mostly the tones were different between Picture 1 and Picture 2. I didn't notice any differences in the content of the photographs, but the second one was more brown/warm tones and the first one was more gray/cool tones",2,20,"I honestly have no idea what the purpose was",2,"No Upgrade","No Upgrade",-1,"High Attention",1,19
"20",188,"5ebc3a79d662f00651521620",62.58,64.84,74.52,66.45,69.68,70,"",0,0,0,NA,NA,"Colour",1,21,"Too assess attention to detail if any and then to see it people lie about feelings or understanding of art ",2,"No Upgrade","Upgrade",1,"Low Attention",-1,20
"21",594,"5f22ea1aed777902047bdfdb",74.51,87.46,82.68,87.61,72.96,71.55,"",0,0,0,NA,NA,"Between the black and white pictures it looked like some of them might have higher or lower contrast or black levels. Between pictures 1 and 2, they were black & white and colour respectively.",1,28,"Perhaps to make one appreciate the detail in a photograph, the way it was composed, the subject and activity a little more. Perhaps to see if a colour photograph has a larger and more wide-reaching appeal than a black and white one. The reason I chose to receive 5 cents less and view the coloured one in a hypothetical second survey is purely because it'd be nice to look at something different, not necessarily because I preferred it or even found the black and white one less attractive. The black and white one had a certain enigmatic quality about it that the colour one didn't necessarily have.",1,"Upgrade","Upgrade",1,"Low Attention",-1,21
"22",329,"5f172fe7c89bde065a7e120e",63.94,84.79,64.51,76.76,70.7,71.55,"boat. spire. mountains.",1,0,1,1,"Yes","color",1,64,"impressions. observation",2,"No Upgrade","Upgrade",1,"High Attention",1,22
"23",180,"5ee3e575473a460b9166472f",98.73,95.92,97.89,98.45,100,99.58,"",0,0,0,NA,NA,"picture two had a warmer color but I preferred picture one ",2,25,"to see whether differences in picture warmth affected liking",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,23
"24",226,"5f05cde2f4abed083dff3c8f",85.2,92.77,91.86,84.32,94.65,94.68,"church, boat and a mountain",1,0,1,1,"No","one has a vintage filter over ",1,20,"i have no idea what the survey was about",2,"No Upgrade","No Upgrade",-1,"High Attention",1,24
"25",190,"5e3d9e02d53178000b0fa65e",100,100,100,100,84.08,72.68,"",0,0,0,NA,NA,"Picture 1 is black and white in the colour of the photograph. Meanwhile with picture 2 has a brownish tint to it",2,21,"What art we like",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,25
"26",231,"5ced20370b72600001fd8d91",75.77,84.79,60.28,76.62,78.17,71.41,"",0,0,0,NA,NA,"It was hard to tell any real difference between the grey-scale pictures. One was obviously colour. ",1,27,"To test relational effect of colour vs. b/w in aesthetic appreciation",2,"No Upgrade","Upgrade",1,"Low Attention",-1,26
"27",240,"5a8367b9190420000155ec2a",80.99,84.37,82.68,81.55,81.55,84.65,"Boat, Church, Tree",2,0,1,2,"Yes","The two pictures were the same except for slight variations in colour grading. One had a blue/grey tint, whereas the other had a brown/sepia tint.",1,34,"The purpose was to identify whether participants could spot minor details in one variant of the photograph compared to the other.",2,"No Upgrade","No Upgrade",-1,"High Attention",1,27
"28",337,"5a764c308fe2dc0001057389",91.27,92.25,88.87,85.77,89.3,86.62,"boat buildings cghurch",2,0,1,1,"No","same photo in differant color",1,30,"none",1,"Upgrade","No Upgrade",-1,"High Attention",1,28
"29",183,"5cd8638310887400162dafec",57.32,51.69,44.23,43.52,53.38,44.23,"",0,0,0,NA,NA,"The top one had a different filter on, a greyish one and the bottom has a brownish filter on ",2,27,"To see the same photo and see which you would prefer and to also test concentration as it was the same two photos been shown over again",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,29
"30",200,"5eb6b39f268e7b048afb8362",100,100,100,100,100,100,"",0,0,0,NA,NA,"Seemed to be a slight colour difference between 1 and 2 (1 was more black and white, whilst 2 was a sepia filter?). Also a little further could be seen into the distance in 1 than 2.",1,25,"To find out whether people brether 'cooler' black and white images vs 'warmer' sepia?",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,30
"31",395,"5e418553f2f6bc011cbfe69a",80.28,77.89,79.15,81.55,79.3,80.28,"",0,0,0,NA,NA,"The colour hue, lighter in one picture, and darker in the other. ",1,36,"To see how the difference in colour hue affects differences in preference? ",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,31
"32",272,"5ece73382fcd0a081ba1ad94",100,100,80.56,82.54,78.17,81.97,"",0,0,0,NA,NA,"One is in full colour and the other is in greyscale.",2,33,"To see how people prefer the look of full colour art in relation to grey scale photography.",2,"No Upgrade","Upgrade",1,"Low Attention",-1,32
"33",306,"57ba9ce8dec5910001467fb0",100,100,100,100,100,100,"Boat church water",2,1,1,1,"No","The differences are just the colour ",2,55,"To see if photos stand out more in different light settings ",2,"No Upgrade","No Upgrade",-1,"High Attention",1,33
"34",321,"5f0d78c42fd99c00088e0754",70.83,56.08,65.63,70.49,79.69,79.86,"boat, trees, house",2,0,1,1,"Yes","most of the pictures were in black and white and the other was coloured ",2,21,"how being made to pay more attention to a picture affects how you perceive it ",1,"Upgrade","Upgrade",1,"High Attention",1,34
"35",220,"5eca7eb5287a860377841716",48.65,70.27,73.96,69.28,69.24,75.75,"boat, church spire, trees, houses, ",2,0,1,1,"No","the tones were different, one more sepia and warm the other cool ",1,28,"don't know ",1,"Upgrade","No Upgrade",-1,"High Attention",1,35
"36",317,"5ed92350fb714c483e9f477d",92.11,87.32,90.7,89.72,87.18,88.87,"",0,0,0,NA,NA,"The black and white version of the picture was varied in that the boat kept moving more to the centre of the frame. The in colour version heavily showed blues and greens.",2,25,"To see if our brain gets bored of viewing the same thing with slight variations and so views it less favourably.",2,"No Upgrade","Upgrade",1,"Low Attention",-1,36
"37",233,"5e71188622535c02ce4356d7",81.27,84.93,87.75,87.32,86.48,86.76,"",0,0,0,NA,NA,"I preferred the sepia tinted picture to the grey tint.",1,56,"Not sure as I struggled to see any difference between the pictures",1,"Upgrade","No Upgrade",-1,"Low Attention",-1,37
"38",232,"5e692a511f156a1e4aa18f70",98.62,100,100,100,99.91,100,"Mountains, boat, church",3,1,1,1,"Yes","The lighting effect is different. The second picture is a sepia effect.",2,49,"Not sure.",2,"No Upgrade","No Upgrade",-1,"High Attention",1,38
"39",258,"5f218324ae08e153216cc9c2",18.71,23.87,27.42,27.74,28.39,22.58,"boat, houses and the church ",3,1,1,1,"No","the colour picture makes objects stand out more that aren’t as visible in the black and white one, such as the mountain in the background. the colours help to differentiate objects and it more visually pleasing",2,19,"to see how much we notice in black and white pictures as compared to coloured photos ",1,"Upgrade","Upgrade",1,"High Attention",1,39
"40",271,"5a70d41c9cdd1800017763d7",99.72,100,100,100,100,99.86,"",0,0,0,NA,NA,"The only real difference that I could see was that one was in black and white and the other in colour.  The subject matter was a very pretty lakeside town",2,44,"I don't know",2,"No Upgrade","Upgrade",1,"Low Attention",-1,40
"41",353,"579d6b38baec1b00016989ad",81.55,71.13,75.21,74.08,77.18,76.2,"",0,0,0,NA,NA,"One of the pictures has some sort of sepia tint imposed on it while the other is purely monochromatic.  There seemed to be a bit of perspective difference but it was hard to tell - perhaps I imagined it - would need to see the pictures side by side.",2,54,"No idea!",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,41
"42",436,"5cf97d7e50880e0019af630b",81.69,82.54,81.41,79.01,80.85,80.14,"boat church swedish chalet",2,0,1,1,"No","The coloured picture was more real and could imagine being there more than the black and white one. Lifted my spirits more than the black and white photo.",2,54,"How a beautiful photo effects your mood.",2,"No Upgrade","Upgrade",1,"High Attention",1,42
"43",318,"5bfc8b3273fc5100019f8b88",85.76,90.51,88.14,85.76,87.8,86.78,"",0,0,0,NA,NA,"The differences in the  pictures was the lighting in them. A different filter must have been used on picture 2 which gave it more of an old fashioned look which i preferred ",2,55,"To determine which i preferred of the same photo. ",1,"Upgrade","No Upgrade",-1,"Low Attention",-1,43
"44",272,"5e4d94e8ee0d4509aacdfbc8",72.68,77.89,76.34,72.68,50.99,53.38,"",0,0,0,NA,NA,"Picture 1 was in colour and picture 2 was not ",2,19,"N/A",1,"Upgrade","Upgrade",1,"Low Attention",-1,44
"45",348,"5ec7ca6db123490622a82978",96.76,97.04,96.9,94.51,88.73,92.54,"boat, houses, mountain",2,0,1,1,"Yes","The first picture is obviously in black and white and although still being a stunning picture it conveys a dark and gloomy atmosphere rather than the second picture which happens to be full of life. The rich colours and the vibrant hues are effective in depicting a warm and lively atmosphere",2,19,"To see if attention wavers as time moves on andif people become disintrested with the topic at hand.",2,"No Upgrade","Upgrade",1,"High Attention",1,45
"46",378,"5776a49cda1c780001b6370b",72.25,81.74,80.14,82.86,79.44,80.99,"",0,0,0,NA,NA,"Picture 1 was a black and white still photo.  Picture 2 was the same photo but with a strong sepia tint.",1,67,"unsure",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,46
"47",167,"5e9adfac24dd290008dffeb2",100,100,100,100,100,100,"mountain, boat, church, houses, river, trees",2,0,1,3,"No","sepia toned on the second image",1,38,"preferences of filters on photos",2,"No Upgrade","No Upgrade",-1,"High Attention",1,47
"48",505,"5bef31aa059b3200010715dc",67.46,71.55,67.18,67.61,65.92,68.31,"boat, tower, houses, the sea, trees",2,0,1,1,"No","I saw no differences in the grey scale pictures. I assumed those were the same. When we were shown the 2 pictures together though picture 1 was the grey scale image we had been shown though out the whole study and picture 2 was a nicer, more vibrant colour version (which i did prefer even though the original grey scale image was also nice)",2,32,"I think the survey is to see our preferences on visual stimuli related to payment. You asked if we would prefer to be paid less to see a more colourful picture if we were asked to do another study like this in the future so that is what made me think of this reason. Lovely images, thank you for letting me be a part of your study :)",1,"Upgrade","Upgrade",1,"High Attention",1,48
"49",207,"5ef7dbfaa55497514b5ef931",63.38,63.52,72.82,69.01,60.14,46.06,"",0,0,0,NA,NA,"Picture 1 was black and white meanwhile Picture 2 had colour. ",2,19,"To see whether constantly seeing the same thing will lessen your enjoyment. ",2,"No Upgrade","Upgrade",1,"Low Attention",-1,49
"50",247,"58489f4b42041d000125967d",69.3,68.87,74.08,71.69,79.58,77.18,"Boat, church steeple, house",1,0,1,3,"No","The first image is black and white with a sharper contrast. The 2nd version is sepia. The image looks older and less sharp. ",2,34,"I'm not sure. ",2,"No Upgrade","No Upgrade",-1,"High Attention",1,50
"51",550,"5c617b872026f300018082d1",89.44,97.46,93.38,88.17,93.38,95.09,"House, boat, church",1,0,0,1,"No","One was in black and white, the other was in colour.",2,32,"Whether having to closely observe and answer questions about an image affects the viewer's perception of its attractiveness.",2,"No Upgrade","Upgrade",1,"High Attention",1,51
"52",201,"5e1481df01423faaab2c562e",100,100,76.62,84.79,82.39,76.62,"",0,0,0,NA,NA,"I prefer all the colours in picture 2 they bring it to life",1,49,"To take in a picture and what you like about it and the way it makes you feel",1,"Upgrade","Upgrade",1,"Low Attention",-1,52
"53",237,"5aeffa76da09e4000153b200",87.89,82.96,86.34,79.3,80,80.28,"",0,0,0,NA,NA,"They were all the same throughout. When comparing between picture 1 and 2, 1 was black and white. 2 was in sepia",2,27,"I have no idea",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,53
"54",286,"5b52f4933234ab00014ca442",55.49,56.06,57.46,55.49,55.77,57.75,"",0,0,0,NA,NA,"One picture was in black and white and the other picture was in colour.",2,23,"I don't know.",2,"No Upgrade","Upgrade",1,"Low Attention",-1,54
"55",246,"568aebfc39a70e000b57acf9",62.11,63.1,65.92,68.59,68.45,70.14,"",0,0,0,NA,NA,"None that I noticed in the repetitive view. When 2 pictures were shown on the shame page the first was greyscale and the 2nd was more a sepia tone.",1,39,"Not sure!",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,55
"56",222,"5cf94ae16dc72d001a0ba4d2",58.59,55.63,55.21,55.77,54.93,60.14,"a boat, trees, a mountainside",1,0,1,1,"No","One was black and white and one was in full bright colour.",2,31,"Attentiveness to detail in a black and white photo perhaps?",2,"No Upgrade","Upgrade",1,"High Attention",1,56
"57",234,"5ef907b9160ad109d319c721",85.96,81.09,73.93,87.68,85.96,86.25,"Steeple, boat, balconies ",3,1,1,2,"Yes","One monochrome / grayscale and one full colour ",1,38,"To judge people’s change in opinion as more detail is made available / pointed out to them  ",2,"No Upgrade","Upgrade",1,"High Attention",1,57
"58",258,"5f2c5609a19da50ff2dff067",65.49,67.32,70.42,73.24,70.56,71.27,"boat, church, mountain",3,1,1,1,"No","the colour in picture one was black and white, and in picture two it was a lovely colour. Picture two seemed more HD",2,23,"concentration",1,"Upgrade","No Upgrade",-1,"High Attention",1,58
"59",232,"5c708c40b2da8a0001ee06c5",90.14,95.77,89.58,53.8,73.66,77.32,"",0,0,0,NA,NA,"the pictures had slightly different colours, and the different colours showed different amounts of focus to the foreground and background features.",2,46,"I'm sorry, I don't know",1,"Upgrade","No Upgrade",-1,"Low Attention",-1,59
"60",244,"5d2eff99452e88001617edad",75.92,69.44,50.85,47.75,50.7,50.14,"Boat, Church, House, Moutain ",3,1,1,1,"No","One is in black and white and the other is in color ",1,26,"To determine if people would rather look at color photos vs black and whit. ",1,"Upgrade","Upgrade",1,"High Attention",1,60
"61",377,"5e99b1cca8fb3400099be916",71.69,71.27,68.03,66.76,51.27,57.32,"",0,0,0,NA,NA,"Some were sepia toned with more contrast between the land in the background and the midground/foreground. In some the trees in the background were slightly larger than in others.",2,31,"I don't know",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,61
"62",309,"5e8e09d7b1ca640ac2755099",54.37,57.04,58.45,58.45,57.75,52.25,"Boat  Church  Lake",2,0,1,3,"Yes","The second  is in colour and it adds much more depth to the picture.",2,53,"How carefully people actually look at a picture and actually pay attention to the detail.",2,"No Upgrade","Upgrade",1,"High Attention",1,62
"63",643,"5f2f431b3a5bfb32b9266055",75.63,70.14,61.97,67.32,59.58,69.3,"a boat, a car, a cross",2,1,0,2,"Yes","The picture in colour was a lot easier to recognise objects however I feel aesthetically the picture without colour was better. ",1,18,"I think it was about noticing tiny details in images perhaps to see if the average human can make them out. Although I found some details hard, I enjoyed taking part in this study.",2,"No Upgrade","Upgrade",1,"High Attention",1,63
"64",232,"5b369180fbc98a0001a93ed0",82.39,78.87,74.93,78.73,77.04,77.32,"",0,0,0,NA,NA,"Picture 1 was in black and white and picture 2 was sepia. They were both the same image.",2,26,"I have no idea.",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,64
"65",253,"5f2d9c05ff8b370927811f1e",29.3,19.15,18.45,15.63,18.03,16.34,"ship, houses, trees",2,0,1,2,"No","2nd picture has better contrast making it more attractive to look at than the 1st picture ",2,19,"I think the purpose of this was to study an individual's attention to detail and being able to remember what they have seen in the picture and regurgitate it ",1,"Upgrade","Upgrade",1,"High Attention",1,65
"66",454,"5e36f76b2c324c67599cb90d",48.19,60.17,63.09,71.31,66.99,78.97,"Boat, church, houses, trees, hills",3,1,1,2,"Yes","One was black and white, one was colour",2,49,"Not sure",2,"No Upgrade","Upgrade",1,"High Attention",1,66
"67",294,"5efc998e4946480622ee3d35",54.51,54.93,54.79,62.39,68.31,64.93,"",0,0,0,NA,NA,"Picture 1 is brighter, clearer and the picture seems sharper. It is also more grey. Picture 2 seems to have a browner tone, it is duller with less contrast between areas in the picture.",2,25,"To see how filters on photos effects how pleasant it is to view them",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,67
"68",178,"5cf79d5faf5cc7001ad2e077",68.03,70.99,85.21,73.94,75.63,65.49,"",0,0,0,NA,NA,"it appeared to be the same picture, with different colour tones from grey to sepia",2,47,"no idea",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,68
"69",386,"5f2b1e40147eeb5059f88f16",63.52,74.93,55.49,86.62,80.85,59.86,"",0,0,0,NA,NA,"Picture 1 has cool undertones, which gives a blue/grey wash, whereas picture 2 has warm undertones and looks quite red/pink when compared to Picture 1.",2,20,"Perhaps how people's interactions differ with the same picture but just different undertones.",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,69
"70",244,"5cbf6e2696b6f80001b2e5d2",49.37,50.42,49.15,48.73,50.56,49.58,"Boat, Castle, House ",2,0,1,1,"No","One picture was in black and white, while the other was in colour. ",2,19,"To understand the difference of perception once colour is involved",1,"Upgrade","Upgrade",1,"High Attention",1,70
"71",699,"5f2fc993b22b6b3c07719a80",27.51,48.42,26.07,56.16,56.73,67.05,"Boat, church spire and hills ",1,0,1,1,"No","One was colour, one was black and white. The black and white photograph was difficult to look at compositionally and quite jarring. The colour image worked better visually. ",2,35,"Colour, composition, Light and contrast ",1,"Upgrade","Upgrade",1,"High Attention",1,71
"72",309,"5e56e6a7dd429a0973edeaed",97.18,95.07,92.54,93.52,92.25,92.82,"",0,0,0,NA,NA,"The contrast was ever so slightly different in the pictures I had to rate. Where there were two pictures, picture 2 had a sepia effect.",1,8,"I don't know.   Not having a number value on the rating bar made it difficult to give a value relative to previous ratings.  ",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,72
"73",298,"597cdb8ffa99240001dec26e",100,100,100,100,100,100,"Boat Church Trees",1,0,1,3,"Yes","I liked Picture 2 because of the colour I was able to see it more clearly.",2,63,"To assess how people take notice of what they see.",1,"Upgrade","Upgrade",1,"High Attention",1,73
"74",158,"56ea3053f20ef3000c946e75",61.69,60.85,61.13,59.44,47.46,40.14,"boat, tree, tower",2,0,1,1,"No","different hue",1,33,"naa",2,"No Upgrade","No Upgrade",-1,"High Attention",1,74
"75",272,"5c36701dbef9a20001e36b89",80.56,53.8,63.8,59.58,58.17,50.99,"boat, houses, body of water",2,0,1,1,"No","One had a bluish hue to it and the other had a sepia one.  in the early picture i felt the reflection of the tower was not as strong as in later picture but i might just have not noticed it too much the first time.  otherwise they seemed the same to me",2,37,"no idea what the purpose was?!!!  ",2,"No Upgrade","No Upgrade",-1,"High Attention",1,75
"76",190,"5ede733156eaeb0df5b22ea6",72.19,100,87.96,75.82,78.91,73.88,"",0,0,0,NA,NA,"Differences in colour and clarity of the image",2,21,"To see if repeatedly viewing an image makes it less enjoyable ",2,"No Upgrade","Upgrade",1,"Low Attention",-1,76
"77",199,"5b9165e5ebb4390001df2539",82.58,75.48,82.26,85.81,86.77,94.84,"Boat, church, water",2,0,1,1,"No","The tone was different. The change in colours actually brought out certain details in some one that wasn’t in the other, especially the texture in the background on the left",2,30,"I have no idea",2,"No Upgrade","No Upgrade",-1,"High Attention",1,77
"78",613,"5b6dbe6d5729b200016a542d",25.07,39.72,66.48,44.79,88.87,95.21,"",0,0,0,NA,NA,"the one pitcure is a slightly darker the boat is futher away in one photo",1,19,"attention defsit",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,78
"79",235,"5e1c863dfa970c011a77d150",79.01,77.46,77.04,72.68,78.87,60,"boat, buildings, mountain",3,1,1,1,"Yes","Picture 1 is in black and white, and Picture 2 is in color.",2,27,"Was it to see if repeatedly viewing a photo and asking about details affects the viewer's ability to enjoy the photo? ",2,"No Upgrade","Upgrade",1,"High Attention",1,79
"80",455,"5ec052b0842a8c117114fba6",77.04,72.39,73.8,73.1,70.7,70.85,"church spire, boat, mountain ",2,0,1,1,"No","one is black and white and the other is in colour",1,36,"I think the purpose of the study was to measure with which people stick to their initial judgments ",2,"No Upgrade","Upgrade",1,"High Attention",1,80
"81",143,"5d23d3fc4c615500189196dc",10.42,8.59,10.7,9.58,9.72,13.24,"boat, church, house",2,0,1,1,"No","black and white vs colour",2,29,"na",1,"Upgrade","Upgrade",1,"High Attention",1,81
"82",239,"59614e6887bef300013a4bb1",62.82,62.54,64.37,60.99,64.93,61.83,"Boat, tower, hill",1,0,1,1,"No","One was a warmer greyscale pallette than the other.",1,40,"To see if people's appreciation of photos changed with repeated asking.",2,"No Upgrade","No Upgrade",-1,"High Attention",1,82
"83",335,"545d347afdf99b7f9fca22c7",28.03,39.01,40.56,33.52,39.01,36.48,"Boat, mountain and church",2,0,1,2,"No","Different colour tone ",1,30,"Longer you view a photo increases or decreases the enjoyment from it.",1,"Upgrade","No Upgrade",-1,"High Attention",1,83
"84",214,"5cbb39cb98560b0016678e5b",37.75,26.48,35.49,20.42,11.83,12.25,"",0,0,0,NA,NA,"Repeatedly viewing photo 1 - photo 2 is warmer in tone, more of a sepia which makes the process slightly more enjoyable.",2,19,"Perception of colour?",1,"Upgrade","No Upgrade",-1,"Low Attention",-1,84
"85",356,"5847e40d6cca010001fe2d64",81.8,81.1,82.65,81.94,81.24,82.23,"boat, spire, house, tree, people, reflections, curves, sky",2,0,1,1,"No","Picture 1 is monochrome, picture 2 is colour Because of similarities in tone in the background in picture 1 some details are not as clear as picture 2 (mountain)",1,55,"whether familiarity breeds contempt",1,"Upgrade","Upgrade",1,"High Attention",1,85
"86",323,"5c40d4d640de0b0001439144",82.96,82.25,89.15,88.17,89.72,87.46,"",0,0,0,NA,NA,"All the pictures that I saw on their own all looked the same to me but when the 2 pictures were shown together, Picture 1 was black and white and clearer; Picture 2 was sepia and hazier.  Both looked like old photographs with picture 2 looking older.",2,62,"Showing the 2 options maybe to make me like the one you were showing respectively less.",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,86
"87",238,"5efc5e70a02b2322d1120f77",54.23,55.49,55.92,41.27,46.34,50,"",0,0,0,NA,NA,"One is more of a grey tone and the other is more if a sepia tone",2,33,"To see if people can tell the difference between pictures",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,87
"88",171,"5b63e03735ff9600011da95d",91.83,91.41,92.82,87.46,91.27,90.7,"",0,0,0,NA,NA,"Just colours. I think the reflection was different but I'm not sure.",1,30,"Unsure",2,"No Upgrade","Upgrade",1,"Low Attention",-1,88
"89",316,"5f0654e5f1c52f1b28abbc6b",73.38,77.89,80.28,74.65,64.65,52.96,"",0,0,0,NA,NA,"picture 2 was in colour whereas picture 1 was in grey tone ",1,23,"Establishing whether individuals would prefer money or a nicer photograph",1,"Upgrade","Upgrade",1,"Low Attention",-1,89
"90",270,"5f2b119848d8b14dbdb3e872",48.92,50.21,33.37,18.98,12.67,22.4,"",0,0,0,NA,NA,"one is colour, one is in Greyscale ",2,26,"the longer and more repeatative an image is the less you enjoy it? If it varies it can be more enjoyable ",1,"Upgrade","Upgrade",1,"Low Attention",-1,90
