"","duration","id","enj_1","enj_2","enj_3","enj_4","enj_5","enj_6","desire_1","desire_2","desire_3","desire_4","desire_5","desire_6","enj_up_1","des_up_1","enj_up_2","des_up_2","enj_up_3","des_up_3","enj_sq_1","des_sq_1","enj_sq_2","des_sq_2","enj_sq_3","des_sq_3","enj_noup_1","des_noup_1","enj_noup_2","des_noup_2","enj_noup_3","des_noup_3","enj_dw_1","des_dw_1","enj_dw_2","des_dw_2","enj_dw_3","des_dw_3","att_check","gen","age","sugg","participant","cond","memo","choice","n_choice","enj_cov","des_cov"
"12",264,"5c85b1ef63805a000149f8be",9,9,9,9,9,5,9,9,1,1,1,1,NA,NA,NA,NA,NA,NA,9,4,7,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I did not notice any difference in the main pictures but when the option of Picture 1 vs Picture 2 came up, the second was much more blurry",1,35,"I'm not sure",12,"downgrade",9,"status quo",-1,9,9
"13",303,"5bd066b99afb5b00015b64a3",6,7,7,6,5,6,6,6,4,1,1,1,NA,NA,NA,NA,NA,NA,5,1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Looked like the same picture but possibly with brightness and contrast adjusted?",1,31,"Probably something about boredom.",13,"no upgrade",7,"status quo",-1,6.5,6
"14",367,"5c071dcf711f240001767fdf",7,7,7,6,6,6,6,6,6,5,5,6,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was in black and white while Picture 2 was sepia toned. Also, as the study progressed, the pictures showed more reflection in the water.",2,23,"To see if repeated viewing of a picture makes people notice changing details in the picture",14,"no upgrade",7,"status quo",-1,7,6
"15",293,"5d36dbfb9749cc001a5c238b",7,7,7,7,7,7,6,6,5,4,4,3,NA,NA,NA,NA,NA,NA,7,5,7,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was a desaturated version of picture 2, which also made it harder to make out some of the finer details. I did not realize the shapes in the background were tree covered mountains until colour was introduced.",1,23,"Test the effects of repeated exposures on enjoyment of the picture when faced with the possibility of looking at further photos.",15,"upgrade",7,"status quo",-1,7,6
"16",220,"5c44a98948956f0001547c6b",7,9,9,9,9,9,8,8,8,8,7,6,NA,NA,NA,NA,NA,NA,9,5,9,5,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some kind of blurring had occurred in the second photo, making it hard to make out details.",1,23,"Testing repetitiveness.",16,"downgrade",8,"status quo",-1,8,8
"17",372,"5cfd0448bd7c73001ad17219",5,5,5,5,5,4,4,4,4,3,3,1,NA,NA,NA,NA,NA,NA,3,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 is black and white, picture 2 is sepia",2,20,"To see how the enjoyability of viewing a picture changes with repeated viewing.",17,"no upgrade",5,"status quo",-1,5,4
"18",350,"597f57ccfc90e000011c56fe",4,4,2,3,2,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one was in full colour one was in almost black and white",2,35,"no idea",18,"upgrade",3,"status quo",-1,4,2
"19",356,"5ca2b857c16d2e0018beb15a",9,9,8,8,8,8,9,9,8,8,8,8,NA,NA,NA,NA,NA,NA,8,8,8,8,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The first photo was a traditional black and white image that made the details pop more and the second image was the same with a sepia tone that gave it a older feel. Both images were nice, but the contrast in the first is more pleasing to me. ",1,44,"The purpose was to see how people like different tones of images. I did not have any difficulties. ",19,"no upgrade",9,"status quo",-1,9,9
"20",206,"5cfc417f0653e9000170e9cd",6,6,6,6,6,6,6,5,6,4,4,4,NA,NA,NA,NA,NA,NA,6,4,6,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ones fuzzy the other is not",1,20,"To compare peoples enjyoent of one picture to another ",20,"downgrade",6,"status quo",-1,6,5.5
"21",264,"5875d6ccce4b280001728980",7,7,7,7,7,7,5,5,4,3,2,1,8,1,8,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both pictures were of the same scenery but one was greyscale, the other was in colour.",2,24,"To determine how quickly people fatigue over something, e.g. how quickly one will start to dislike the advertising product if they see the advertisement too often.",21,"upgrade",7,"new option",1,7,5
"22",384,"5c414d29fcdfd400013d8b47",7,8,8,7,6,7,6,6,2,2,1,1,NA,NA,NA,NA,NA,NA,8,3,8,4,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"picture 1 was clear, and picture 2 was blurry. However they were the same picture",1,35,"seeing picture enjoyablibity after repeated viewing",22,"downgrade",8,"status quo",-1,7.5,6
"23",329,"5a5f5413acc75b00017aa790",7,7,7,7,7,7,7,1,1,1,1,1,NA,NA,NA,NA,NA,NA,6,1,5,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"number 1 was brighter than number 2",1,60,"Patience and tolerance",23,"no upgrade",7,"status quo",-1,7,4
"24",251,"5d593bb9035b8900189e4a42",7,8,8,8,8,8,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,8,5,8,5,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The second picture is a sepia tone of the first picture",2,55,"To see how someone will response to repeatedly seeing a picture depending on how much they like the picture.",24,"no upgrade",8,"status quo",-1,7.5,5
"25",386,"54ccac0dfdf99b3a7712573d",7,7,7,7,7,7,8,5,4,5,3,3,NA,NA,NA,NA,NA,NA,7,4,7,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The second picture was in colour rather than black and white and also appeared to have been enhanced",1,43,"To study the picture to see if there were any differences from picture to picture",25,"upgrade",7,"status quo",-1,7,6.5
"26",272,"5bf1c7367c3874000169e2b9",4,4,4,4,4,4,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,4,5,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One was black and white, one was in colour ",2,28,"None",26,"upgrade",4,"status quo",-1,4,5
"27",272,"570665aeac75a4000f94eddc",6,6,6,5,3,1,5,5,5,3,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 2 had a bit of a brown/golden sepia tone to it, and picture 1 was just black and white",2,26,"I'm not sure",27,"no upgrade",6,"status quo",-1,6,5
"28",243,"5bdb201af7e760000112640e",6,7,7,7,7,6,6,5,3,1,1,1,9,7,7,6,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one photo was in colour the other was in black and white. they was exactly the same photo so no other differences",2,31,"to see if you still enjoy something after repeatedly having to view/see it continuously ",28,"upgrade",7,"new option",1,6.5,5.5
"29",237,"5c9f61562707e10001a01066",7,8,7,6,5,5,6,6,4,3,2,1,NA,NA,NA,NA,NA,NA,3,1,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the colour",1,30,"patience",29,"upgrade",6,"status quo",-1,7.5,6
"30",299,"5aead67d3ba4810001da99f4",9,9,7,6,6,5,9,5,2,1,1,1,NA,NA,NA,NA,NA,NA,5,2,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One was a high-quality image of a nice landscape.  A town on the edge of a lake with a boat approaching and mountains in the background. The other was a low-quality, pixelated version of the same image. ",2,32,"To see how long it would take to get bored of seeing the same image.",30,"downgrade",9,"status quo",-1,9,7
"31",462,"5d5269e77c43cf0001c275e5",6,6,6,6,6,5,4,3,3,1,1,1,NA,NA,NA,NA,NA,NA,5,1,4,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One was more clear and the other was blurry. ",2,19,"To see if people can see the differences in a very similar picture. ",31,"downgrade",6,"status quo",-1,6,3.5
"32",195,"5b3399fd02a41700016a0f27",6,7,7,6,6,6,5,5,6,6,6,4,NA,NA,NA,NA,NA,NA,5,3,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was in black and white whereas picture 2 was in colour.",2,22,"I'm not sure.",32,"upgrade",6,"status quo",-1,6.5,5
"33",298,"5a58ec22acc75b00017a3ce8",9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was clear, Picture 2 was pixelated.",2,67,"not sure.",33,"downgrade",9,"status quo",-1,9,9
"34",500,"57a0a143913c710001976735",4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,4,4,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some were pixilated.  I did think there were perhaps other slight differences like the background becoming more prominant and trees disappearing? ",2,41,"How long does it take to get fed up :)",34,"downgrade",4,"status quo",-1,4,4
"35",395,"5d51d8179fcdda0001bba69c",7,7,7,7,7,1,7,7,1,1,1,1,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The black and white picture seemed clearer and less dreary ",2,42,"To see which picture we liked best ",35,"no upgrade",7,"status quo",-1,7,7
"36",230,"5c59c96e69dff80001306b0b",5,5,5,5,5,5,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,5,1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The colour was the main difference in picture 1 and 2 ",1,33,"Analyse human behaviour and decision making ",36,"upgrade",5,"status quo",-1,5,2
"37",227,"5b575da5f633200001232769",6,5,5,4,4,3,5,2,1,1,1,1,NA,NA,NA,NA,NA,NA,3,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"picture 2 was in colour whereas picture 1 was black and white",1,21,"To find if people get bored of looking at the same picture over and over again",37,"upgrade",4,"status quo",-1,5.5,3.5
"38",267,"5d29c9b8bc573b00015c965a",9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 2 is warmer then Picture 1 but Picture is better in my opinion ",1,32,"To appraise 2 photos",38,"no upgrade",9,"status quo",-1,9,9
"39",249,"56d2fdff321cae000d68d946",8,7,6,7,6,6,8,5,6,5,4,4,NA,NA,NA,NA,NA,NA,6,3,6,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the second picture was a lower resolution to picture 1",2,34,"information overload and how much you like something",39,"downgrade",8,"status quo",-1,7.5,6.5
"40",333,"5a2164f01a1ad3000138f7f9",9,9,8,9,9,8,8,8,8,8,8,5,NA,NA,NA,NA,NA,NA,9,8,9,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The first one was nice and clear and the second picture was blurry.",2,34,"To see one's patience level and see if there opinion changed of the picture the more you had to view it.  Would your opinion change if it meant you did not have to keep viewing the picture.",40,"downgrade",9,"status quo",-1,9,8
"41",354,"5c471c625f6720000198dee9",7,7,7,7,7,7,6,6,6,6,6,5,NA,NA,NA,NA,NA,NA,7,5,7,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 is black and white; picture 2 is sepia tone.",2,36,"Not sure. Perhaps to see how many times users will click the same buttons.",41,"no upgrade",7,"status quo",-1,7,6
"42",546,"597f3a319c2e9c0001c94ee3",9,9,9,8,9,9,9,9,9,4,9,8,NA,NA,NA,NA,NA,NA,9,9,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture One is clear and a relaxing calm photo to view Picture two is hazy and dull",2,60,"comparison",42,"no upgrade",9,"status quo",-1,9,9
"43",311,"5ba2cd9ee671c60001236628",9,7,7,9,9,9,9,7,7,6,6,6,NA,NA,NA,NA,NA,NA,9,6,9,5,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the colour tone and water reflections",2,29,"don't know",43,"no upgrade",9,"status quo",-1,8,8
"44",336,"5d54e58ab0240f0001773f76",9,9,7,5,4,1,9,2,1,1,1,1,NA,NA,NA,NA,NA,NA,3,2,6,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"They were both variations of the same image. Picture 1 was a grayscale version, whereas Picture 2 was colour.",2,21,"To test how much enjoyment of one thing fades over repeated viewings maybe.",44,"upgrade",9,"status quo",-1,9,5.5
"45",208,"5d11d79a927254001ab72fbb",7,7,7,7,6,4,7,6,6,4,4,2,8,6,7,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"first pic was black and white, second was colour",2,33,"peoples attention spans",45,"upgrade",7,"new option",1,7,6.5
"46",265,"5a7cb83a000dab00018c530b",9,9,5,9,8,7,9,9,1,1,1,1,NA,NA,NA,NA,NA,NA,6,1,5,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the 1st pic was a good quality, 2nd one was same pic but pixelated, blurred",2,45,"attention to detail",46,"downgrade",9,"status quo",-1,9,9
"47",323,"5af4b9ff1b55800001f499e5",6,4,3,4,2,2,5,2,1,1,1,1,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was black and white and picture 2 was more sepia coloured ",2,26,"To see if differences were notices between pictures ",47,"no upgrade",6,"status quo",-1,5,3.5
"48",187,"5bf7063eab2bef00013ea5a1",7,8,8,8,8,9,9,9,8,7,6,7,NA,NA,NA,NA,NA,NA,9,6,8,5,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 2 was far brighter than Picture 1",1,19,"N/A",48,"no upgrade",9,"status quo",-1,7.5,9
"49",372,"59ec6ee7ae9f950001d84869",7,7,7,6,6,5,9,7,7,5,5,4,NA,NA,NA,NA,NA,NA,5,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One was coloured; the other was monochrome",2,25,"Long exposure to same photo lowers positive perception",49,"upgrade",7,"status quo",-1,7,8
"50",484,"5c5ca0ce4ee81200018eaf51",7,6,6,6,5,5,5,5,4,3,3,1,NA,NA,NA,NA,NA,NA,5,1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was clear, picture 2 was pixelated.",2,50,"To measure whether liking something was likely to increase desire to see it more?",50,"downgrade",7,"status quo",-1,6.5,5
"51",352,"5b71c1f8e1727c0001e5fe48",7,7,7,7,7,7,9,8,8,8,8,8,NA,NA,NA,NA,NA,NA,7,7,8,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One was a normal photo, one was a more pixelated version, and the third felt as though it was clearer to see? ",1,21,"To study perception.",51,"downgrade",7,"status quo",-1,7,8.5
"52",243,"5a9771d6873cda0001dc955e",6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The top image was black and white, the bottom had a sepia filter over it.",1,32,"Enjoyment of pictures.",52,"no upgrade",6,"status quo",-1,6,6
"53",559,"5ccee1ce011e940001ff0b4b",9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 is a lovely, clear picture of a small waterside town.  Picture 2 appears to be a pixilated version of picture 1.",2,42,"I don't know what the purpose of the study was.  I liked the picture 1 though.",53,"downgrade",9,"status quo",-1,9,9
"54",181,"5a8c9fe2000dab00018cde32",5,4,3,4,1,1,6,5,4,4,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The tone - one was greyscale and one was like sepia",2,25,"Not sure! ",54,"no upgrade",4,"status quo",-1,4.5,5.5
"55",314,"56d3e532da2aaa000cab0a60",7,7,7,7,7,7,7,5,5,5,5,5,NA,NA,NA,NA,NA,NA,7,6,7,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was crisp and clear and full of detail.  Picture 2 was pixelated and you were unable to make out any detail. ",2,33,"No idea!  Interesting though. ",55,"downgrade",7,"status quo",-1,7,6
"56",285,"57cde6e36736cf0001b326e4",7,7,7,6,7,5,4,3,2,1,1,1,NA,NA,NA,NA,NA,NA,6,1,6,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colour",1,29,"Attention",56,"upgrade",6,"status quo",-1,7,3.5
"57",352,"58c6acc530c4cf0001ce98ca",6,5,5,5,5,5,6,5,5,5,5,5,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The main difference is whether they were in black and white or colour. There may have been a slight difference in how much sky/sea area was shown to the left of the picture.",2,60,"No idea!",57,"upgrade",5,"new option",1,5.5,5.5
"58",333,"5c6d4288f0f60000017bfa8f",8,9,8,8,9,8,8,9,8,8,9,8,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 seems to be in a different filter and is much more focused than picture 2 ",2,29,"I do not know",58,"no upgrade",9,"status quo",-1,8.5,8.5
"59",513,"5c9ab7f88637dd0001cf90f3",6,7,4,7,5,5,5,5,4,4,4,5,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The sharpness, lighting and contrast differed between each ",2,24,"To see how little differences may change the way you see or perceive a photo? ",59,"no upgrade",6,"status quo",-1,6.5,5
"60",415,"59322642e2768f0001fe77c8",7,6,6,7,7,6,6,1,1,6,6,1,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 2 appeared to be a more pixelated version of picture 1 and was less enjoyable to view and attend to.  I did not notice any other differences.",2,33,"Perhaps it has to deal with attention or boredom with stimuli after repeated viewing",60,"downgrade",6,"status quo",-1,6.5,3.5
"61",217,"5c8e8bed75696a001820d5eb",6,6,6,5,4,4,7,5,4,2,1,1,8,6,8,3,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"picture 2 is colourised.",2,25,"colour vs black and white appreciation of viewing",61,"upgrade",6,"new option",1,6,6
"62",352,"5d2b5941b49c5d00018f4d07",4,4,2,1,1,1,4,3,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was clear and picture two had less pixels and so was more blurry and unclear",2,26,"Unsure",62,"downgrade",2,"status quo",-1,4,3.5
"63",387,"5c81d072d7c01f001460c384",8,8,8,7,7,7,7,7,7,6,6,6,NA,NA,NA,NA,NA,NA,7,6,7,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I felt that picture one was more original and more appealing to the human eye. I enjoyed the gray scale effect, especially with the reflection of the buildings on the water. Picture #2 had a more brownish effect, which wasn't as appealing.",1,27,"I think the purpose of this survey was to see if you enjoy looking at a picture several times and if you still feel like you enjoyed the picture as much as the first time you saw it.",63,"no upgrade",8,"status quo",-1,8,7
"64",250,"579694d64d107800016dd2e4",3,2,2,1,1,1,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One is black and white and one is colour.  ",2,47,"Haven't a clue - to see if we can be bought for money to look at boring stuff.  ",64,"upgrade",1,"status quo",-1,2.5,2
"65",279,"58caad248158840001b5d4ff",8,8,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"picture 2 was a pixelated version of picture 1",2,39,"dont know",65,"downgrade",8,"status quo",-1,8,8
"66",494,"5a64f41263394a00015567b5",9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both of the pictures was of the same scene, however picture 1 was in black and white and picture 2 was in full colour",2,38,"No difficulty arose",66,"upgrade",9,"status quo",-1,9,9
"67",326,"5ce6f8ac37ab9200165c1690",8,8,8,7,6,6,7,6,4,3,2,1,NA,NA,NA,NA,NA,NA,6,1,6,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was black and white, picture 2 was in sepia",2,39,"I've no idea - to see if pictures become less likable with repetition maybe",67,"no upgrade",8,"status quo",-1,8,6.5
"68",299,"5bf86492a9a2e8000180b9d3",6,6,6,5,3,3,4,3,3,2,2,1,NA,NA,NA,NA,NA,NA,3,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 2 was a pixelated version of picture 1",2,32,"Something to do with attention spans, perhaps",68,"downgrade",7,"status quo",-1,6,3.5
"69",616,"5ca25d15a2c7da00014e24d7",7,7,6,6,5,4,8,5,4,4,3,2,NA,NA,NA,NA,NA,NA,5,2,5,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black and white vs full colour",2,30,"Im not sure! ",69,"upgrade",8,"status quo",-1,7,6.5
"70",229,"5c55c1560b78e00001de7ee1",8,8,7,8,7,6,8,6,4,6,5,3,NA,NA,NA,NA,NA,NA,8,5,7,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Well the one picture is very clear and pleasant, the other is blurry and difficult to see details.",1,34,"I am really not sure, possibly seeing how the rating decreases after seeing the same photo over and over.",70,"downgrade",8,"status quo",-1,8,7
"71",309,"5cc9fa33e123000017289489",8,8,6,6,6,6,8,6,5,5,3,2,NA,NA,NA,NA,NA,NA,6,3,7,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black and white vs colour ",2,20,"No difficulites  Perception of things ",71,"upgrade",7,"status quo",-1,8,7
"72",241,"5d5400580dcbbc00012485d6",2,2,2,2,1,1,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one was greyscale one was sepia",2,19,"To see if people changed their minds over a period of time. Although to be honest I don't see the point",72,"no upgrade",2,"status quo",-1,2,2
