"","duration_t2","id","model_t2","diff_model_t2","enj_t2","info_t2","up_real_t2","up_real_model_t2","up_int_mini_t2","up_int_12_t2","up_int_pro_t2","up_int_max_t2","replace_t2","charg_know","charg_lik","gen","age","sugg_t2","duration_t1","model_t1","diff_model_t1","enj_t1","up_int_t1","replace_t1","sugg_t1","family_t1","info_idx_t1","hed_dec","info_quiz_t2","up_lik","info_t2_std","up_real_t2_ctr","replace_t2_std","charg_know_ctr","charg_lik_std","up_int_t1_std","replace_t1_std","info_idx_t1_std","info_quiz_t2_std","up_lik_std","fam_contrast","n_model_t2"
"11",118,"5e54726fc776d347c9c8fd42","iPhone XS Max","",100,95,"No","",5,6,53,64,9,"Yes",50,"Male",32,"To see if the new iPhone is worth buying",155,"iPhone XS Max",NA,99.15,51,0,"To ask about phones.","iPhone X",90.6666666666667,0.849999999999994,4,64,1.93437721654317,-1,-0.642142568198656,1,1.32306703997444,0.677474904420304,-0.891486594369568,0.334187704204403,-0.242745267360561,0.897527781993546,0.5,13
"12",115,"5f566338ebda26077593a32b","iPhone 7","",74.79,33,"No","",5,33,1,1,25,"Yes",48,"Male",23,"To see who's interested in iPhone 12",83,"iPhone 7",NA,79.58,42,62,"Pretty simple to follow.","iPhone 7",151,-4.78999999999999,4,33,-0.0598878395214603,-1,-0.164569200895133,1,1.2449705542328,0.402726286213585,0.917776378927798,1.18476392545823,-0.242745267360561,0.0117553829955178,-0.5,30
"13",217,"5d9a7b223dbc9e02ad435c90","iPhone 7 Plus","",89.35,19,"No","",11,41,93,98,97,"No",1,"Female",50,"I don’t know what the purpose was put it did fire me up when I read that the iphone 12 doesn’t come with a charger. I hope it’s because it has some other better technology to keep it charged and not because iphone was trying to rush to market and didn’t have time to get the charger thing figured out. ",150,"iPhone 7 Plus",NA,74.19,78,51,"It seemed pretty straight forward. Like you wanted to know about our current phone and whether we are interested in the new iPhone. ","iPhone 7",123,15.16,4,98,-0.510205755407021,-1,1.98451095197072,-1,-0.590296860695857,1.50172075904046,0.596778109471814,0.790021369738224,-0.242745267360561,1.86902009057203,-0.5,17
"14",152,"5f107aa051372032695c8e2f","iPhone X","",100,60,"No","",0,0,0,0,0,"Yes",52,"Male",19,"Determining whether the iPhone 12 is seen as a significant improvement over previous models.",155,"iPhone X",NA,100,0,0,"I would assume that the purpose of this study is to identify the relationship between the interest people have in new phones and the likelihood that they will purchase those phones. ","iPhone X",2,0,5,0,0.808582426829265,-1,-0.910777587306888,1,1.40116352571609,-0.879433932084435,-0.891486594369568,-0.915830388908962,0.697186988814636,-0.93116362238948,0.5,28
"15",100,"5f57aef7d298df2827a31b30","iPhone 11","",74.37,43,"Yes","",11,10,27,29,3,"No",13,"Male",29,"To see what information is known about the new iPhone 12",119,"iPhone 11",NA,84.65,17,6,"To do market research on the individuals phone buying preferences.  There's a typo in one of the questions when it states "" the new the new.""","iPhone 11",42.6666666666667,-10.28,3,29,0.261767814682512,1,-0.821232580937477,-1,-0.121717946245987,-0.360464319916189,-0.716396629211759,-0.342513819887043,-1.18267752353576,-0.102537829778421,1,52
"16",92,"5f4f29b8c154ed17df64546b","iPhone 11","",67.62,13,"No","",5,6,5,4,4,"Yes",5,"Female",24,"Determining interest in upgrading. ",116,"iPhone 11",NA,72.11,3,3,"Looking at the relationship between phone model and possibility of upgrade.","iPhone 11",8,-4.48999999999999,6,6,-0.703199147929405,-1,-0.791384245481007,1,-0.434103889212567,-0.787851059348862,-0.803941611790664,-0.831242698397531,1.63711924498983,-0.759723803228571,1,52
"17",135,"5f12691e8427ec1bd6ba5e64","iPhone 11","",100,3,"No","",0,0,0,0,100,"No",51,"Female",52,"I think you want to know how much the public knows about the new iPhone and maybe what they like and dislike.",117,"iPhone 8 Plus",NA,81.69,60,69,"I didn't have any difficulties.  I don't really know the purpose.  It seems like you want to know whether researching will affect my decision whether to upgrade and whether to get a new version or existing.","iPhone 8",25,18.31,5,0,-1.02485480213338,-1,2.07405595834013,-1,1.36211528284527,0.952223522627023,1.12204800494524,-0.591577575281811,0.697186988814636,-0.93116362238948,0,52
"18",160,"5f3ebd568c429614c0f595e8","iPhone 6S","",100,5,"No","",0,0,0,0,100,"No",0,"Male",39,"To see how well I know iphone 12 capabilities.",118,"iPhone 6S",NA,100,100,100,"to see how i like my iphone","iPhone 6S and Previous Models",69.6666666666667,0,3,0,-0.960523671292582,-1,2.07405595834013,-1,-0.62934510356668,2.17332849243466,2.02667949159393,0.0381307874143954,-1.18267752353576,-0.93116362238948,-1,17
"19",108,"5dd44f9d83e30943db0de0aa","iPhone 6S","",99.87,43,"No","",0,0,0,0,29,"Yes",5,"Female",37,"how you feel about iphones",320,"iPhone 6S",NA,100,0,0,"cellphone usage","iPhone 6S and Previous Models",2.66666666666667,-0.129999999999995,3,0,0.261767814682512,-1,-0.0451758590692521,1,-0.434103889212567,-0.879433932084435,-0.891486594369568,-0.906431756629914,-1.18267752353576,-0.93116362238948,-1,17
"20",108,"5edb08d518022777ff0c00ca","iPhone XR","",89.11,61,"No","",8,7,9,9,8,"Yes",31,"Male",28,"To get feedback on the new iPhone models from iPhone users. ",78,"iPhone XR",NA,100,13,2,"To determine how often an Apple product user will upgrade","iPhone X",100.666666666667,-10.89,5,9,0.840747992249662,-1,-0.671990903655126,1,0.581150425428818,-0.482574816896953,-0.833123272650299,0.475167188390121,0.697186988814636,-0.674003893648117,0.5,32
"21",113,"5a6d4c08e6cc4a0001b6c4f6","iPhone X","",79.72,21,"No","",1,24,24,24,1,"Yes",9,"Female",23,"n/a",47,"iPhone X",NA,82.82,4,3,"not sure","iPhone X",2.33333333333333,-3.09999999999999,4,24,-0.445874624566227,-1,-0.880929251850417,1,-0.277910917729277,-0.757323435103671,-0.803941611790664,-0.911131072769438,-0.242745267360561,-0.245404345745845,0.5,28
"22",224,"581bd344930a280001062c90","iPhone XS Max","",80.14,53,"No","",1,6,31,40,13,"No",0,"Female",37,"how much i knew about the newest iphone",132,"iPhone XS Max",NA,70.14,0,1,"interest in new iphones","iPhone X",28,10,5,40,0.583423468886484,-1,-0.522749226372775,-1,-0.62934510356668,-0.879433932084435,-0.862304933509933,-0.549283730026096,0.697186988814636,0.211768505349911,0.5,13
"23",92,"5eac65aec4ed450f4df4868f","iPhone 11","",91.83,45,"No","",0,18,0,0,72,"Yes",49,"Male",43,"I don't know. No comments.",59,"iPhone 11",NA,94.93,0,0,"I don't know. No comments.","iPhone 11",78.6666666666667,-3.10000000000001,5,18,0.326098945523306,-1,1.23830256555897,1,1.28401879710362,-0.879433932084435,-0.891486594369568,0.165012323181541,0.697186988814636,-0.416844164906754,1,52
"24",101,"5bd9fed6780d50000109c503","iPhone 8","",32.39,8,"No","",0,0,0,0,34,"No",0,"Male",38,"Market survey for Apple",113,"iPhone 8",NA,39.01,7,43,"User satisfaction leading to brand loyalty? I'm not entirely sure","iPhone 8",20,-6.62,3,0,-0.864026975031391,-1,0.104065818213099,-1,-0.62934510356668,-0.665740562368099,0.363324822594734,-0.66206731737467,-1.18267752353576,-0.93116362238948,0,29
"25",175,"5efb31fa8cd32f04bf048643","iPhone 8","",100,14,"No","",0,100,33,21,11,"No",5,"Female",34,"To see how people feel about the new iphones coming without chargers and people's general feelings about the new iphone.",125,"iPhone 8",NA,100,12,93,"I think the purpose of this study is to see if people are always looking for the newest product that is coming out.","iPhone 8",0,0,4,100,-0.671033582509007,-1,-0.582445897285716,-1,-0.434103889212567,-0.513102441142144,1.82240786557648,-0.944026285746106,-0.242745267360561,1.926166696959,0,29
"26",61,"5c871f91e769f8000178afc8","iPhone SE (2020)","",57.89,9,"No","",0,0,0,0,0,"No",0,"Male",31,"Not sure, ",90,"iPhone SE (2020)",NA,60.28,76,0,"I'm not really sure, just see how likely ppl are to switch to new iphones depending on what models they have?","iPhone 11",32.3333333333333,-2.39,4,0,-0.831861409610993,-1,-0.910777587306888,-1,-0.62934510356668,1.44066551055008,-0.891486594369568,-0.488192620212285,-0.242745267360561,-0.93116362238948,1,16
"27",233,"5e89fdffad009e010e958ee7","iPhone SE (2016)","",97.04,4,"No","",0,0,0,0,92,"No",100,"Male",67,"Market research for Apple",153,"iPhone SE (2016)",NA,97.89,24,15,"This was a study of how willing people are to upgrade their iphone.","iPhone 6S and Previous Models",224.333333333333,-0.849999999999994,6,0,-0.992689236712979,-1,1.83526927468837,-1,3.27547918351557,-0.146770950199852,-0.453761681475044,2.2186134761535,1.63711924498983,-0.93116362238948,-1,6
"28",80,"5f26523b9e04df29fc462ea6","iPhone 7 Plus","",89.44,1,"No","",0,0,0,0,100,"No",0,"Female",22,"Understanding how well people understand the new iphone?",87,"iPhone 7",NA,82.54,32,81,"Market research for iphone","iPhone 7",0,6.89999999999999,4,0,-1.08918593297417,-1,2.07405595834013,-1,-0.62934510356668,0.0974500437616756,1.47222793526086,-0.944026285746106,-0.242745267360561,-0.93116362238948,-0.5,17
"29",88,"5f3af0d80bf2cb7a4b024a91","iPhone 11","",60.56,17,"No","",3,20,4,4,4,"Yes",2,"Male",28,"Gauge perceptions of new iphone ",87,"iPhone 11",NA,53.66,2,57,"Measure average level of research among cell phone consumers ","iPhone 11",15.6666666666667,6.90000000000001,6,20,-0.574536886247816,-1,-0.791384245481007,1,-0.551248617825035,-0.818378683594053,0.771868074629623,-0.723158427188481,1.63711924498983,-0.359697558519784,1,52
"30",137,"5ecaebb6cb2a1201f852fd14","iPhone XR","",95.99,2,"No","",2,23,23,25,3,"Yes",0,"Male",29,"Gauging market awareness towards iPhone products",169,"iPhone XR",NA,91.69,29,21,"I think it’s a marketing study to look at the population of smart phone users and examine their interest in the new iPhone model based on what phone they currently have.","iPhone X",36,4.3,5,25,-1.05702036755377,-1,-0.821232580937477,1,-0.62934510356668,0.00586717102610274,-0.278671716317235,-0.436500142677521,0.697186988814636,-0.21683104255236,0.5,32
"31",92,"5df58b28ecb3ea3ed1ceea37","iPhone X","",94.23,13,"No","",0,69,55,55,21,"Yes",0,"Female",25,"To gauge interest in obtaining an iPhone 12",41,"iPhone X",NA,69.58,37,52,"seeking my interest on the new iPhone","iPhone X",1.33333333333333,24.65,3,69,-0.703199147929405,-1,-0.283962542721014,1,-0.62934510356668,0.25008816498763,0.625959770331449,-0.92522902118801,-1.18267752353576,1.04039429796097,0.5,28
"32",320,"5c510b41e459660001e38861","iPhone 7","",71.83,1,"No","",1,2,5,4,4,"No",3,"Female",64,"How likely it is that someone is willing to purchase an iPhone without a charger being included in the purchase price",160,"iPhone 7",NA,73.38,4,2,"marketing research","iPhone 7",13.6666666666667,-1.55,3,5,-1.08918593297417,-1,-0.791384245481007,-1,-0.512200374954212,-0.757323435103671,-0.833123272650299,-0.751354324025625,-1.18267752353576,-0.788297106422056,-0.5,30
"33",144,"5eb7f3593de8da0230b3b434","iPhone XS","",63.24,16,"No","",1,1,1,2,1,"Yes",0,"Male",36,"No issues and unsure of study's purpose",58,"iPhone 11",NA,80.42,9,7,"no suggestions","iPhone 11",24,-17.18,3,2,-0.606702451668213,-1,-0.880929251850417,1,-0.62934510356668,-0.604685313877717,-0.687214968352124,-0.605675523700383,-1.18267752353576,-0.87401701600251,1,20
"34",497,"5f284fd0150c080d0ea76ba9","iPhone 11","",100,100,"Yes","iPhone 12",26,100,53,100,100,"Yes",100,"Male",47,"No. This study was fine.",143,"iPhone 11 Pro Max",NA,100,75,100,"This study was good. Thank You.","iPhone 11",216.666666666667,0,5,100,2.09520504364515,1,2.07405595834013,1,3.27547918351557,1.41013788630489,2.02667949159393,2.11052920494445,0.697186988814636,1.926166696959,1,52
"35",135,"5e81b80102677c89a6bfa9a0","iPhone XR","",86.38,44,"No","",0,0,0,0,14,"No",0,"Male",20,"To see what our thoughts are about the new Iphone and if we would upgrade",115,"iPhone XR",NA,80.43,29,22,"To see how much marketing impacts us based on what we see on everyday in commercials","iPhone X",148.333333333333,5.94999999999999,5,0,0.293933380102909,-1,-0.492900890916305,-1,-0.62934510356668,0.00586717102610274,-0.2494900554576,1.14716939634204,0.697186988814636,-0.93116362238948,0.5,32
"36",199,"5ee04a3f7dfcae39390e6553","iPhone 8","",92.25,6,"No","",2,2,2,2,1,"No",7,"Male",35,"to acquire buyer preferences with their iPhones and find out if they would like to upgrade them.",102,"iPhone 7",NA,72.68,23,14,"to gain info on what iPhone users want in their phones","iPhone 7",36.6666666666667,19.57,5,2,-0.928358105872185,-1,-0.880929251850417,-1,-0.356007403470922,-0.177298574445043,-0.482943342334679,-0.427101510398474,0.697186988814636,-0.87401701600251,-0.5,29
"37",84,"5de934fadde1c4000b10d7bb","iPhone 6S Plus","",100,13,"No","",9,14,15,19,53,"Yes",17,"Male",36,"N/A",70,"iPhone 6S Plus",NA,100,0,0,"I have no idea","iPhone 6S and Previous Models",153.333333333333,0,3,19,-0.703199147929405,-1,0.671184191886032,1,0.0344750252373027,-0.879433932084435,-0.891486594369568,1.2176591384349,-1.18267752353576,-0.388270861713269,-1,9
"38",184,"5ce85b322711fa0001c2978f","iPhone XS","",100,35,"No","",0,53,53,53,0,"Yes",25,"Female",48,"Likelihood of buying new model based on how much is known about the new model.",150,"iPhone XS",NA,97.18,17,10,"To see if satisfaction with current phone means that a person less likely to investigate newer model.","iPhone X",0,2.81999999999999,4,53,0.00444329131933417,-1,-0.910777587306888,1,0.346860968203883,-0.360464319916189,-0.599669985773219,-0.944026285746106,-0.242745267360561,0.583221446865213,0.5,20
"39",69,"5ebdd41dd850600f799f70de","iPhone XS","",100,32,"No","",42,37,40,51,72,"No",16,"Female",20,"iphone studies",54,"iPhone X",NA,99.72,91,96,"no idea","iPhone X",230.333333333333,0.280000000000001,3,51,-0.0920534049418575,-1,1.23830256555897,-1,-0.00457321763351979,1.89857987422794,1.90995284815539,2.30320116666493,-1.18267752353576,0.526074840478244,0.5,20
"40",99,"5ece0369618acf1948655484","iPhone 11 Pro Max","",86.76,61,"No","",1,3,2,48,1,"Yes",60,"Male",29,"To see how consumers feel about the iPhone 12 and if they are aware of features ",297,"iPhone 8 Plus",NA,83.66,83,100,"to see how much someone would upgrade to a newer iPhone given their current iPhone ","iPhone 8",198.333333333333,3.10000000000001,5,48,0.840747992249662,-1,-0.880929251850417,1,1.71354946868267,1.65435888026642,2.02667949159393,1.85206681727063,0.697186988814636,0.440354930897789,0,9
"41",120,"5ecca0f9a88e73878f2e66b4","iPhone 11","",97.61,51,"No","",1,30,2,1,1,"No",1,"Female",20,"To see how much people know about a phone before they buy it and how willing they are to do so.",89,"iPhone 11",NA,88.87,16,1,"How important the newest technology is","iPhone 11",4.66666666666667,8.73999999999999,4,30,0.51909233804569,-1,-0.880929251850417,-1,-0.590296860695857,-0.39099194416138,-0.862304933509933,-0.878235859792771,-0.242745267360561,-0.0739645265849365,1,52
"42",76,"5df2be706e8aab1d1eb46feb","iPhone XS","",100,51,"No","",0,0,78,48,7,"Yes",0,"Male",30,"To find out how people view the iphone",49,"iPhone XS",NA,86.48,63,42,"See how people feel about new iphones","iPhone X",134,13.52,6,78,0.51909233804569,-1,-0.701839239111596,1,-0.62934510356668,1.0438063953626,0.334143161735099,0.945098802342514,1.63711924498983,1.29755402670233,0.5,20
"43",136,"5ebf2b97ce2e0f1c05e9b00a","iPhone XS","",100,62,"No","",9,17,21,20,16,"No",100,"Female",56,"To test the knowledge of an iPhone 12",188,"iPhone 6S",NA,100,53,84,"To see if you’re thinking about buying another iPhone, and also to see if you’ve researched the newest iPhone and it’s availability","iPhone 6S and Previous Models",166.333333333333,0,3,21,0.872913557670059,-1,-0.433204220003365,-1,3.27547918351557,0.738530152910686,1.55977291783977,1.40093246787633,-1.18267752353576,-0.331124255326299,-1,20
"44",83,"5ef623ae56fe360c6f3066ee","iPhone 5S","",100,2,"No","",2,4,4,4,5,"No",0,"Male",59,"iphone 12",70,"iPhone 5S",NA,99,2,1,"about Apple iphones","iPhone 6S and Previous Models",22,1,4,4,-1.05702036755377,-1,-0.761535910024537,-1,-0.62934510356668,-0.818378683594053,-0.862304933509933,-0.633871420537526,-0.242745267360561,-0.81687040961554,-1,4
"45",91,"59e1268c6100f9000194a35c","iPhone 11 Pro","",73.38,12,"No","",0,0,7,12,1,"Yes",33,"Male",25,"How people are willing to replace their old phones with  new ones.",51,"iPhone 11 Pro",NA,74.93,10,2,"Consumer thoughts on purchasing 2020 phone models.","iPhone 11",87.3333333333333,-1.55000000000001,3,12,-0.735364713349802,-1,-0.880929251850417,1,0.659246911170463,-0.574157689632526,-0.833123272650299,0.287194542809164,-1.18267752353576,-0.588283984067662,1,14
"46",342,"5f0a48e187a3fe31a75050fe","iPhone 8 Plus","",81.41,68,"No","",1,100,74,61,12,"No",49,"Male",25,"To gauge interest and knowledge about the new iphone",694,"iPhone 8 Plus",NA,100,93,85,"The purpose is to gauge our opinion on the upcoming iphone and how much research/inquiry we have done on it.","iPhone 8",146.333333333333,-18.59,5,100,1.06590695019244,-1,-0.552597561829245,-1,1.28401879710362,1.95963512271832,1.5889545786994,1.1189734995049,0.697186988814636,1.926166696959,0,18
"47",402,"5f5aa60bef062519ff711fe6","iPhone XR","",89.86,53,"No","",27,66,75,60,50,"Yes",23,"Male",18,"Get people's thoughts on the new iPhone 12 and how much they know about it.",971,"iPhone XR",NA,74.79,100,87,"To see how much I know about smartphones and whether I plan to buy a future model.","iPhone X",163.666666666667,15.07,4,75,0.583423468886484,-1,0.581639185516622,1,0.268764482462238,2.17332849243466,1.64731790041867,1.36333793876014,-0.242745267360561,1.21183411712188,0.5,32
"48",209,"5e1ce181e37cd906f01b3226","iPhone 11","",100,14,"No","",16,19,16,22,20,"No",12,"Female",65,"To see how familiar you are with the new IPhone.",110,"iPhone 11",NA,100,48,40,"Good","iPhone 11",162.666666666667,0,3,22,-0.671033582509007,-1,-0.313810878177484,-1,-0.16076618911681,0.585892031684731,0.275779840015829,1.34923999034157,-1.18267752353576,-0.302550952132815,1,52
"49",309,"5c748b9188fdc20017c60436","iPhone 6","",81.69,34,"No","",54,60,33,1,67,"Yes",7,"Male",24,"See consumer's thoughts on the iPhone 12",65,"iPhone 6",NA,60.7,81,50,"Seeing if people were thinking of buying a new phone this year","iPhone 6S and Previous Models",70,20.99,4,60,-0.027722274101063,-1,1.08906088827662,1,-0.356007403470922,1.59330363177603,0.567596448612179,0.0428301035539193,-0.242745267360561,0.783234569219607,-1,10
"50",144,"5e9b7ad1687af207bd1cf2fa","iPhone 11","",81.95,71,"No","",0,0,0,0,0,"Yes",0,"Female",33,"To see whether people are going to upgrade to the new phone",69,"iPhone 7",NA,36.76,26,100,"to see if people are going to upgrade their iphones","iPhone 7",167.333333333333,45.19,5,0,1.16240364645363,-1,-0.910777587306888,1,-0.62934510356668,-0.0857157017094702,2.02667949159393,1.41503041629491,0.697186988814636,-0.93116362238948,-0.5,52
"51",93,"59bce3080ac77f0001f056de","iPhone X","",85.49,100,"Yes","iPhone 12 Pro",0,0,100,0,0,"Yes",10,"Male",35,"It's to assess our overall opinion of the new iPhone 12 models.",61,"iPhone X",NA,88.73,91,0,"The purpose of the study was to assess our level of interest in upgrading our existing iPhone to a brand new model.","iPhone X",186.666666666667,-3.24000000000001,6,100,2.09520504364515,1,-0.910777587306888,1,-0.238862674858455,1.89857987422794,-0.891486594369568,1.68759075238729,1.63711924498983,1.926166696959,0.5,28
"52",99,"5699974f25d9e90006b08be4","iPhone 8","",59.3,34,"No","",0,0,0,0,0,"Yes",0,"Male",28,"studying customers reasons of upgrading or not",654,"iPhone 8",NA,84.08,8,7,"survey on consumer incentives to upgrade phones","iPhone 8",0,-24.78,6,0,-0.027722274101063,-1,-0.910777587306888,1,-0.62934510356668,-0.635212938122908,-0.687214968352124,-0.944026285746106,1.63711924498983,-0.93116362238948,0,29
"53",173,"5ecdb3258b053d00091ea370","iPhone XR","",100,84,"No","",80,90,52,76,68,"Yes",7,"Male",28,"a iphone survey ",130,"iPhone XR",NA,100,92,80,"a phone survey to know our intereste","iPhone X",171,0,5,90,1.5805559969188,-1,1.11890922373309,1,-0.356007403470922,1.92910749847313,1.44304627440123,1.46672289382967,0.697186988814636,1.64043366502415,0.5,32
"54",198,"5f4c8469ad5ee688eff8cb4b","iPhone 8 Plus","",75.36,100,"No","",42,52,81,46,44,"Yes",0,"Male",27,"To determine how an iPhone will preform in recurrent users. ",62,"iPhone 8 Plus",NA,91.55,38,44,"To predict consumer opinions.","iPhone 8",161.333333333333,-16.19,6,81,2.09520504364515,-1,0.402549172777801,1,-0.62934510356668,0.280615789232821,0.392506483454369,1.33044272578348,1.63711924498983,1.38327393628279,0,18
"55",108,"5d5e4baff521f100166c5d3a","iPhone 8 Plus","",89.72,11,"No","",0,0,0,0,0,"Yes",0,"Male",23,"to see what people know about iphones.",73,"iPhone 8 Plus",NA,46.76,0,0,"no","iPhone 8",0,42.96,3,0,-0.767530278770199,-1,-0.910777587306888,1,-0.62934510356668,-0.879433932084435,-0.891486594369568,-0.944026285746106,-1.18267752353576,-0.93116362238948,0,18
"56",101,"5f2dada6e31f7c0c2e8173f4","iPhone 11","",74.79,6,"No","",6,7,5,6,54,"Yes",4,"Female",23,"N/A",88,"iPhone 11",NA,82.23,4,6,"iPhone marketability ","iPhone 11",10,-7.44,4,7,-0.928358105872185,-1,0.701032527342503,1,-0.47315213208339,-0.757323435103671,-0.716396629211759,-0.803046801560388,-0.242745267360561,-0.731150500035086,1,52
"57",135,"5e34929ef92fd9000a1236f1","iPhone 8","",100,48,"No","",0,9,36,5,53,"Yes",35,"Female",59,"I don't know what the purpose of the study was, but maybe about resistance to change?",79,"iPhone 8",NA,100,55,90,"Looking at how eager people are to upgrade?","iPhone 8",161.333333333333,0,4,36,0.422595641784498,-1,0.671184191886032,1,0.737343396912107,0.799585401401068,1.73486288299758,1.33044272578348,-0.242745267360561,0.0974752925759722,0,29
"58",111,"5bdd18d690edd30001c86dcf","iPhone XR","",88.59,9,"No","",1,53,4,4,73,"Yes",8,"Female",42,"Find out attitudes toward the new iPhone 12.",158,"iPhone X",NA,88.71,49,4,"To find out if you’re in the market for a new iPhone ","iPhone X",19.6666666666667,-0.11999999999999,3,53,-0.831861409610993,-1,1.26815090101544,1,-0.3169591606001,0.616419655929922,-0.774759950931029,-0.666766633514194,-1.18267752353576,0.583221446865213,0.5,32
"59",135,"5ef5f50bae0286278fe95906","iPhone XR","",80,12,"No","",0,0,0,0,0,"Yes",0,"Male",18,"To see people's thoughts of the new iphone coming out.",74,"iPhone 6S Plus",NA,79.01,32,25,"I guess to see how many people buy newer apple products when they come out.","iPhone 6S and Previous Models",93.6666666666667,0.989999999999995,5,0,-0.735364713349802,-1,-0.910777587306888,1,-0.62934510356668,0.0974500437616756,-0.161945072878695,0.376481549460118,0.697186988814636,-0.93116362238948,-1,32
